date,state,district,market,commodity,variety,min_price,max_price,modal_price,arrivals_quintal
2021-01-02,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1504.09,2064.87,1784.48,4227.2
2021-01-02,Maharashtra,Pune,Pune APMC,Onion,Red,1663.6,2099.55,1881.57,4369.7
2021-01-02,Maharashtra,Pune,Pune APMC,Onion,Local,1450.7,1820.66,1635.68,4191.5
2021-01-02,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1760.58,2200.66,1980.62,5082.8
2021-01-02,Maharashtra,Solapur,Solapur APMC,Onion,Red,1337.78,1880.83,1609.31,5583.8
2021-01-02,Maharashtra,Solapur,Solapur APMC,Onion,Local,1356.1,1630.77,1493.43,6405.0
2021-01-02,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1387.56,1904.77,1646.16,5657.3
2021-01-02,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1485.68,1938.62,1712.15,5431.6
2021-01-02,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1260.09,1576.15,1418.12,5707.6
2021-01-02,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1340.35,1892.35,1616.35,4824.3
2021-01-03,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1611.51,1981.12,1796.31,4237.2
2021-01-03,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1282.03,1595.62,1438.82,4524.2
2021-01-03,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1534.56,2120.75,1827.66,4610.6
2021-01-03,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1355.83,1908.31,1632.07,5812.5
2021-01-03,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1237.94,1521.61,1379.77,5430.1
2021-01-03,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1380.92,1914.05,1647.49,6907.5
2021-01-03,Maharashtra,Pune,Pune APMC,Onion,Red,1565.54,1999.56,1782.55,4731.6
2021-01-03,Maharashtra,Pune,Pune APMC,Onion,Local,1435.77,1726.68,1581.23,5125.2
2021-01-03,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1608.62,2097.36,1852.99,6370.1
2021-01-03,Maharashtra,Solapur,Solapur APMC,Onion,Red,1388.81,1754.59,1571.7,7285.8
2021-01-03,Maharashtra,Solapur,Solapur APMC,Onion,Local,1089.48,1354.63,1222.05,4100.6
2021-01-03,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1381.91,1835.41,1608.66,5687.6
2021-01-03,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1403.01,1695.81,1549.41,5642.5
2021-01-03,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1179.81,1692.74,1436.27,4799.6
2021-01-03,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1576.24,1941.22,1758.73,6456.0
2021-01-04,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1523.06,1925.82,1724.44,6129.2
2021-01-04,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1400.43,1674.15,1537.29,6820.8
2021-01-04,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1740.5,2179.89,1960.2,4610.4
2021-01-04,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1372.17,1847.97,1610.07,4031.4
2021-01-04,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1213.65,1580.23,1396.94,4746.6
2021-01-04,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1338.83,1808.0,1573.41,5292.5
2021-01-04,Maharashtra,Pune,Pune APMC,Onion,Red,1514.36,2150.92,1832.64,4443.5
2021-01-04,Maharashtra,Pune,Pune APMC,Onion,Local,1264.82,1792.04,1528.43,6964.1
2021-01-04,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1640.82,2029.07,1834.94,6223.5
2021-01-04,Maharashtra,Solapur,Solapur APMC,Onion,Red,1348.62,1762.26,1555.44,4798.9
2021-01-04,Maharashtra,Solapur,Solapur APMC,Onion,Local,1356.35,1622.38,1489.36,7031.8
2021-01-04,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1449.96,1822.73,1636.35,5164.7
2021-01-04,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1390.62,1891.44,1641.03,7031.4
2021-01-04,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1225.46,1638.45,1431.95,4261.6
2021-01-04,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1518.53,1841.65,1680.09,7036.3
2021-01-05,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1543.84,1814.19,1679.01,4522.8
2021-01-05,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1229.65,1613.05,1421.35,6332.2
2021-01-05,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1365.41,1851.92,1608.66,4783.2
2021-01-05,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1476.33,1850.76,1663.55,6518.3
2021-01-05,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1301.61,1745.81,1523.71,5911.2
2021-01-05,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1568.24,1876.05,1722.15,5227.7
2021-01-05,Maharashtra,Pune,Pune APMC,Onion,Red,1387.81,1985.98,1686.89,5314.2
2021-01-05,Maharashtra,Pune,Pune APMC,Onion,Local,1267.21,1783.38,1525.3,6125.2
2021-01-05,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1614.73,2130.39,1872.56,5653.0
2021-01-05,Maharashtra,Solapur,Solapur APMC,Onion,Red,1502.29,1834.37,1668.33,6436.4
2021-01-05,Maharashtra,Solapur,Solapur APMC,Onion,Local,1067.39,1517.23,1292.31,7225.0
2021-01-05,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1373.57,1942.17,1657.87,5236.1
2021-01-05,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1327.71,1896.3,1612.01,6881.2
2021-01-05,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1250.86,1558.31,1404.59,5287.0
2021-01-05,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1446.49,1757.07,1601.78,5872.0
2021-01-06,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1433.6,2035.97,1734.78,6346.3
2021-01-06,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1207.26,1605.23,1406.25,7348.1
2021-01-06,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1584.11,1912.85,1748.48,5740.9
2021-01-06,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1390.12,1879.6,1634.86,6368.3
2021-01-06,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1316.28,1661.56,1488.92,4975.2
2021-01-06,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1443.64,2021.27,1732.46,7086.4
2021-01-06,Maharashtra,Pune,Pune APMC,Onion,Red,1596.05,2077.82,1836.93,5683.6
2021-01-06,Maharashtra,Pune,Pune APMC,Onion,Local,1409.6,1907.87,1658.74,6686.2
2021-01-06,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1660.82,2336.35,1998.59,5126.5
2021-01-06,Maharashtra,Solapur,Solapur APMC,Onion,Red,1261.66,1665.04,1463.35,4097.4
2021-01-06,Maharashtra,Solapur,Solapur APMC,Onion,Local,1189.12,1533.73,1361.43,5823.7
2021-01-06,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1538.25,1816.89,1677.57,4102.2
2021-01-06,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1186.09,1645.56,1415.82,5202.1
2021-01-06,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1193.85,1638.53,1416.19,4710.2
2021-01-06,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1320.4,1758.49,1539.45,4265.7
2021-01-07,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1432.7,1876.32,1654.51,6146.7
2021-01-07,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1209.18,1644.71,1426.94,7299.7
2021-01-07,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1279.2,1764.77,1521.99,4897.7
2021-01-07,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1417.89,1818.92,1618.41,4242.2
2021-01-07,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1304.67,1663.51,1484.09,4565.3
2021-01-07,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1598.74,1936.9,1767.82,4827.5
2021-01-07,Maharashtra,Pune,Pune APMC,Onion,Red,1682.99,2258.53,1970.76,4928.7
2021-01-07,Maharashtra,Pune,Pune APMC,Onion,Local,1354.49,1931.05,1642.77,6489.0
2021-01-07,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1852.09,2366.6,2109.35,4818.9
2021-01-07,Maharashtra,Solapur,Solapur APMC,Onion,Red,1441.19,1817.93,1629.56,6556.9
2021-01-07,Maharashtra,Solapur,Solapur APMC,Onion,Local,1237.17,1598.48,1417.83,4308.2
2021-01-07,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1468.33,1903.89,1686.11,5588.1
2021-01-07,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1358.73,1728.76,1543.75,6073.2
2021-01-07,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1117.83,1492.43,1305.13,4129.3
2021-01-07,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1555.18,2021.23,1788.2,6893.0
2021-01-08,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1287.9,1727.8,1507.85,4530.0
2021-01-08,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1378.53,1626.94,1502.74,5970.7
2021-01-08,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1379.47,1960.74,1670.11,5935.6
2021-01-08,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1532.26,1973.35,1752.81,5833.9
2021-01-08,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1101.25,1565.69,1333.47,5290.4
2021-01-08,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1559.98,1857.73,1708.86,5061.7
2021-01-08,Maharashtra,Pune,Pune APMC,Onion,Red,1433.26,1997.59,1715.42,4054.2
2021-01-08,Maharashtra,Pune,Pune APMC,Onion,Local,1405.04,1689.13,1547.09,6348.7
2021-01-08,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1685.48,2247.48,1966.48,6964.5
2021-01-08,Maharashtra,Solapur,Solapur APMC,Onion,Red,1435.2,1783.48,1609.34,4579.5
2021-01-08,Maharashtra,Solapur,Solapur APMC,Onion,Local,1210.99,1655.46,1433.22,6723.9
2021-01-08,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1420.6,1797.81,1609.2,6620.2
2021-01-08,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1398.45,1758.61,1578.53,7146.1
2021-01-08,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1176.39,1608.26,1392.32,6545.7
2021-01-08,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1595.94,1912.82,1754.38,7050.0
2021-01-09,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1579.96,1978.53,1779.24,7026.0
2021-01-09,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1310.05,1663.69,1486.87,4011.8
2021-01-09,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1457.01,2075.39,1766.2,5928.7
2021-01-09,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1360.63,1815.38,1588.0,5502.8
2021-01-09,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1154.2,1552.81,1353.5,6538.3
2021-01-09,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1310.11,1806.08,1558.1,6665.2
2021-01-09,Maharashtra,Pune,Pune APMC,Onion,Red,1627.99,1933.4,1780.69,5847.2
2021-01-09,Maharashtra,Pune,Pune APMC,Onion,Local,1329.06,1705.86,1517.46,6999.4
2021-01-09,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1610.72,1946.13,1778.42,6569.4
2021-01-09,Maharashtra,Solapur,Solapur APMC,Onion,Red,1291.48,1718.34,1504.91,4319.4
2021-01-09,Maharashtra,Solapur,Solapur APMC,Onion,Local,1279.04,1523.65,1401.35,6775.0
2021-01-09,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1326.91,1797.52,1562.22,4252.1
2021-01-09,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1200.47,1662.15,1431.31,7202.3
2021-01-09,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1060.93,1522.3,1291.62,6541.7
2021-01-09,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1326.54,1823.32,1574.93,5877.4
2021-01-10,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1429.46,1828.28,1628.87,7062.9
2021-01-10,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1362.96,1603.65,1483.31,5571.7
2021-01-10,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1488.86,1767.72,1628.29,4379.7
2021-01-10,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1379.25,1883.73,1631.49,5962.5
2021-01-10,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1127.72,1610.19,1368.95,5252.1
2021-01-10,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1570.97,1929.25,1750.11,7256.7
2021-01-10,Maharashtra,Pune,Pune APMC,Onion,Red,1597.86,1880.34,1739.1,7279.4
2021-01-10,Maharashtra,Pune,Pune APMC,Onion,Local,1483.34,1767.39,1625.36,5861.9
2021-01-10,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1541.21,2203.82,1872.51,5757.1
2021-01-10,Maharashtra,Solapur,Solapur APMC,Onion,Red,1458.84,1877.38,1668.11,6113.0
2021-01-10,Maharashtra,Solapur,Solapur APMC,Onion,Local,1258.35,1662.72,1460.54,7045.2
2021-01-10,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1626.52,2019.32,1822.92,4615.9
2021-01-10,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1303.0,1679.96,1491.48,5178.8
2021-01-10,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1107.57,1585.41,1346.49,7335.0
2021-01-10,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1411.92,1909.53,1660.73,5801.4
2021-01-11,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1485.14,2003.04,1744.09,4529.0
2021-01-11,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1188.32,1678.88,1433.6,6777.4
2021-01-11,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1318.85,1871.68,1595.26,6925.7
2021-01-11,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1626.23,1926.52,1776.37,4064.7
2021-01-11,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1266.72,1818.05,1542.39,4487.4
2021-01-11,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1405.53,1860.91,1633.22,5272.6
2021-01-11,Maharashtra,Pune,Pune APMC,Onion,Red,1554.76,1984.75,1769.75,4906.4
2021-01-11,Maharashtra,Pune,Pune APMC,Onion,Local,1575.37,1870.46,1722.91,6921.1
2021-01-11,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1578.02,2165.35,1871.69,7193.8
2021-01-11,Maharashtra,Solapur,Solapur APMC,Onion,Red,1284.97,1792.68,1538.83,4817.6
2021-01-11,Maharashtra,Solapur,Solapur APMC,Onion,Local,1065.86,1519.31,1292.58,6040.2
2021-01-11,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1433.14,1761.78,1597.46,6263.4
2021-01-11,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1293.2,1553.24,1423.22,6263.0
2021-01-11,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1318.36,1719.44,1518.9,6606.3
2021-01-11,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1524.08,2000.58,1762.33,5886.1
2021-01-12,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1378.92,1934.45,1656.68,5349.6
2021-01-12,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1310.5,1774.51,1542.5,4700.5
2021-01-12,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1699.22,2050.32,1874.77,4024.5
2021-01-12,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1499.2,1905.08,1702.14,5465.4
2021-01-12,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1068.88,1508.02,1288.45,5161.4
2021-01-12,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1612.8,2051.22,1832.01,6094.4
2021-01-12,Maharashtra,Pune,Pune APMC,Onion,Red,1492.37,2087.47,1789.92,7210.0
2021-01-12,Maharashtra,Pune,Pune APMC,Onion,Local,1258.59,1621.19,1439.89,7314.0
2021-01-12,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1623.81,2105.92,1864.86,5095.0
2021-01-12,Maharashtra,Solapur,Solapur APMC,Onion,Red,1290.52,1538.28,1414.4,4414.0
2021-01-12,Maharashtra,Solapur,Solapur APMC,Onion,Local,1303.22,1569.86,1436.54,4492.5
2021-01-12,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1484.98,1808.35,1646.67,5152.6
2021-01-12,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1228.13,1730.08,1479.1,5589.7
2021-01-12,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1195.61,1459.02,1327.31,4114.2
2021-01-12,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1531.35,1859.95,1695.65,4924.1
2021-01-13,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1474.43,1804.38,1639.4,5216.0
2021-01-13,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1211.23,1574.29,1392.76,6327.1
2021-01-13,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1381.99,1937.54,1659.76,7112.4
2021-01-13,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1481.46,1760.63,1621.05,4918.3
2021-01-13,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1346.49,1640.57,1493.53,4688.2
2021-01-13,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1551.26,1962.55,1756.91,5625.7
2021-01-13,Maharashtra,Pune,Pune APMC,Onion,Red,1415.47,1824.53,1620.0,6521.6
2021-01-13,Maharashtra,Pune,Pune APMC,Onion,Local,1590.14,1880.52,1735.33,4835.0
2021-01-13,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1681.91,2189.75,1935.83,5787.9
2021-01-13,Maharashtra,Solapur,Solapur APMC,Onion,Red,1421.35,1704.96,1563.16,5499.3
2021-01-13,Maharashtra,Solapur,Solapur APMC,Onion,Local,1114.5,1381.37,1247.94,5260.3
2021-01-13,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1497.15,1764.64,1630.89,5072.3
2021-01-13,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1368.11,1645.27,1506.69,7009.0
2021-01-13,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1135.36,1503.05,1319.2,6288.7
2021-01-13,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1499.18,1790.99,1645.09,5804.9
2021-01-14,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1547.37,2045.66,1796.51,6514.7
2021-01-14,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1241.66,1543.51,1392.58,5212.0
2021-01-14,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1465.07,1960.36,1712.71,5919.6
2021-01-14,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1333.98,1598.41,1466.2,4495.7
2021-01-14,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1333.35,1644.86,1489.11,4522.4
2021-01-14,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1463.03,1778.56,1620.79,7030.3
2021-01-14,Maharashtra,Pune,Pune APMC,Onion,Red,1540.9,1838.35,1689.62,5762.0
2021-01-14,Maharashtra,Pune,Pune APMC,Onion,Local,1481.18,1778.47,1629.83,5330.4
2021-01-14,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1535.37,2195.55,1865.46,6923.8
2021-01-14,Maharashtra,Solapur,Solapur APMC,Onion,Red,1337.57,1625.22,1481.4,6253.0
2021-01-14,Maharashtra,Solapur,Solapur APMC,Onion,Local,1193.98,1693.3,1443.64,5871.8
2021-01-14,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1222.29,1677.39,1449.84,4612.2
2021-01-14,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1436.72,1800.48,1618.6,5424.4
2021-01-14,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1156.53,1389.44,1272.99,6055.3
2021-01-14,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1470.93,1830.32,1650.62,5955.2
2021-01-15,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1424.45,1862.46,1643.46,4151.5
2021-01-15,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1220.58,1533.62,1377.1,4432.9
2021-01-15,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1643.36,2030.85,1837.1,6296.8
2021-01-15,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1304.03,1786.17,1545.1,6004.3
2021-01-15,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1085.89,1367.78,1226.83,7141.9
2021-01-15,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1339.25,1861.1,1600.17,7262.8
2021-01-15,Maharashtra,Pune,Pune APMC,Onion,Red,1505.01,2138.35,1821.68,4592.4
2021-01-15,Maharashtra,Pune,Pune APMC,Onion,Local,1411.75,1679.61,1545.68,6500.0
2021-01-15,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1814.04,2190.36,2002.2,6684.4
2021-01-15,Maharashtra,Solapur,Solapur APMC,Onion,Red,1401.88,1713.97,1557.92,4532.5
2021-01-15,Maharashtra,Solapur,Solapur APMC,Onion,Local,1206.6,1620.88,1413.74,5757.0
2021-01-15,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1388.53,1752.52,1570.53,6963.6
2021-01-15,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1472.24,1888.71,1680.47,5259.2
2021-01-15,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1202.44,1549.98,1376.21,5001.7
2021-01-15,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1477.62,1817.77,1647.69,7039.8
2021-01-16,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1600.98,2030.96,1815.97,5826.8
2021-01-16,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1367.91,1644.08,1505.99,7177.0
2021-01-16,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1553.84,2071.42,1812.63,5116.0
2021-01-16,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1401.11,1864.9,1633.01,5792.5
2021-01-16,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1166.64,1642.47,1404.56,6661.7
2021-01-16,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1462.86,1805.55,1634.21,6509.6
2021-01-16,Maharashtra,Pune,Pune APMC,Onion,Red,1550.17,1832.1,1691.13,5916.6
2021-01-16,Maharashtra,Pune,Pune APMC,Onion,Local,1461.46,1838.32,1649.89,6773.0
2021-01-16,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1734.76,2082.36,1908.56,6858.8
2021-01-16,Maharashtra,Solapur,Solapur APMC,Onion,Red,1268.52,1750.79,1509.65,4485.7
2021-01-16,Maharashtra,Solapur,Solapur APMC,Onion,Local,1166.15,1433.74,1299.95,6435.7
2021-01-16,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1442.02,1948.56,1695.29,5824.0
2021-01-16,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1516.72,1873.28,1695.0,5152.7
2021-01-16,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1101.15,1419.23,1260.19,7202.4
2021-01-16,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1622.62,1964.61,1793.61,5972.2
