batch_id,storage_day,variety,storage_mode,initial_quality_score,curing_score,initial_weight_kg,temperature_C,relative_humidity_pct,mq135_gas_index,avg_temperature_24h_C,avg_humidity_24h_pct,avg_mq135_24h,hours_temp_above_27C_24h,hours_RH_above_65pct_24h,weight_loss_pct,decay_pct,sprouting_pct,remaining_shelf_life_days,usable_storage_endpoint_day,data_type
B156,57,Red,DOGR_like,0.851,0.778,8.643,26.16,64.01,147.49,26.46,63.6,147.68,0.0,1.13,1.53,7.39,8.44,36,93,synthetic_research_anchored
B084,91,Red,Ventilated_ambient,0.835,0.734,19.633,24.91,71.79,224.11,25.18,71.5,222.45,0.0,5.93,3.45,67.68,87.48,2,93,synthetic_research_anchored
B106,81,Red,Ventilated_ambient,0.976,0.78,18.376,32.5,68.0,173.44,32.69,67.58,171.11,13.58,3.67,4.45,10.82,10.16,39,120,synthetic_research_anchored
B154,94,Red,DOGR_like,0.766,0.717,8.126,27.05,61.21,245.7,27.3,60.58,246.2,0.0,0.0,2.18,62.93,86.44,0,90,synthetic_research_anchored
B049,120,Yellow,Warm_ambient,0.985,0.916,18.709,35.65,69.44,309.76,35.58,69.68,310.91,18.54,6.03,9.29,100.0,98.93,0,66,synthetic_research_anchored
B110,53,Red,Ventilated_ambient,0.858,0.98,10.41,33.84,89.01,180.37,33.72,89.1,176.1,16.83,22.57,5.31,11.03,9.88,35,88,synthetic_research_anchored
B137,109,Yellow,Warm_ambient,0.948,0.827,8.197,33.27,72.61,309.24,33.33,71.86,304.26,14.73,9.35,7.26,100.0,100.0,0,74,synthetic_research_anchored
B177,50,Red,DOGR_like,0.852,0.693,17.092,30.66,59.43,163.81,30.68,59.91,166.17,9.54,0.0,2.51,0.35,0.31,56,106,synthetic_research_anchored
B170,57,Red,Warm_ambient,0.869,0.704,14.978,26.03,76.05,188.03,25.55,75.61,188.11,1.32,10.07,2.54,20.06,20.67,27,84,synthetic_research_anchored
B071,67,Yellow,Ventilated_ambient,0.878,0.844,11.813,32.61,73.99,250.2,32.85,74.0,256.23,13.47,6.89,4.6,68.62,52.57,14,81,synthetic_research_anchored
B004,60,Red,Ventilated_ambient,0.75,0.898,11.786,29.5,63.46,156.49,29.45,63.72,161.58,6.14,0.0,2.57,1.34,1.15,60,120,synthetic_research_anchored
B017,84,Red,Ventilated_ambient,0.936,0.932,19.399,27.95,68.39,256.32,28.26,66.74,260.95,2.2,2.4,3.04,61.11,76.93,6,90,synthetic_research_anchored
B060,0,White,Ventilated_ambient,0.933,0.826,11.649,25.27,70.3,130.92,25.14,70.27,136.35,0.0,6.26,0.17,0.6,0.0,91,91,synthetic_research_anchored
B175,75,Red,DOGR_like,0.893,0.805,11.153,30.74,60.83,233.92,30.19,61.13,233.93,6.77,0.42,3.68,48.26,42.97,18,93,synthetic_research_anchored
B054,65,Yellow,Ventilated_ambient,0.964,0.805,14.51,28.44,67.11,175.53,28.32,66.55,180.96,4.51,1.69,2.45,9.06,9.78,36,101,synthetic_research_anchored
B079,107,Yellow,Warm_ambient,0.883,0.761,17.054,34.44,92.0,310.25,34.32,91.65,309.25,16.6,24.0,10.88,100.0,100.0,0,78,synthetic_research_anchored
B045,64,Red,Ventilated_ambient,0.901,0.797,15.245,30.56,92.0,193.79,30.31,91.6,192.42,8.74,24.0,5.1,7.52,5.94,42,106,synthetic_research_anchored
B117,25,Red,Ventilated_ambient,0.869,0.668,15.262,35.7,76.78,182.58,35.5,77.35,191.41,19.35,13.09,2.16,0.0,0.16,51,76,synthetic_research_anchored
B148,106,Yellow,Ventilated_ambient,0.798,0.782,13.285,29.01,69.75,266.81,29.31,70.22,279.26,5.61,6.97,4.38,81.49,99.13,0,80,synthetic_research_anchored
B155,114,Yellow,Ventilated_ambient,0.877,0.98,14.015,31.45,55.94,256.24,31.77,55.83,249.6,11.12,0.0,5.68,70.38,78.94,6,120,synthetic_research_anchored
B156,58,Red,DOGR_like,0.851,0.778,8.643,27.87,61.82,154.96,28.08,62.4,152.91,2.61,1.94,1.82,6.99,9.53,35,93,synthetic_research_anchored
B151,23,Red,DOGR_like,0.99,0.98,16.832,26.83,60.86,151.19,26.79,60.77,155.08,0.06,0.0,0.42,0.33,0.0,80,103,synthetic_research_anchored
B117,30,Red,Ventilated_ambient,0.869,0.668,15.262,34.53,82.31,195.45,34.91,82.5,193.53,17.21,17.17,2.7,3.16,1.8,46,76,synthetic_research_anchored
B164,111,Yellow,Ventilated_ambient,0.877,0.687,12.887,26.99,63.12,231.07,26.91,62.69,229.27,0.0,0.04,3.22,62.56,95.69,0,88,synthetic_research_anchored
B113,22,Red,DOGR_like,0.935,0.918,12.872,30.27,66.86,137.78,30.12,66.58,136.19,7.48,1.42,0.94,0.91,0.32,75,97,synthetic_research_anchored
B093,118,White,Ventilated_ambient,0.843,0.876,19.125,28.17,61.69,233.87,28.68,61.77,233.85,1.86,1.61,3.82,67.41,92.99,0,92,synthetic_research_anchored
B064,64,White,DOGR_like,0.938,0.762,8.039,26.26,69.18,171.55,25.97,69.57,181.44,0.11,5.08,2.18,20.22,23.29,26,90,synthetic_research_anchored
B082,44,Yellow,Warm_ambient,0.915,0.786,12.152,32.22,64.56,182.61,32.17,65.22,191.49,12.3,0.75,2.21,25.71,24.61,21,65,synthetic_research_anchored
B005,19,White,DOGR_like,0.884,0.727,8.685,27.77,64.4,164.12,28.19,64.6,168.79,0.99,0.0,0.34,0.03,1.37,80,99,synthetic_research_anchored
B176,0,Yellow,Warm_ambient,0.78,0.91,16.359,27.2,77.35,162.65,27.05,76.9,162.3,3.64,14.21,0.0,0.15,0.78,92,92,synthetic_research_anchored
B138,111,Red,DOGR_like,0.859,0.752,10.457,26.1,54.93,206.41,26.42,55.63,208.7,0.01,3.09,3.08,56.18,75.17,9,120,synthetic_research_anchored
B160,67,Red,DOGR_like,0.946,0.682,14.162,25.95,57.29,145.72,26.04,57.15,138.08,0.0,0.0,1.72,3.12,2.37,53,120,synthetic_research_anchored
B130,20,Red,Warm_ambient,0.719,0.933,12.565,28.84,72.55,169.71,29.31,72.6,172.46,4.1,6.8,1.01,1.79,0.74,51,71,synthetic_research_anchored
B039,11,Yellow,Warm_ambient,0.978,0.791,17.569,36.86,78.22,188.71,37.21,78.53,191.84,24.0,15.73,1.53,0.91,0.01,76,87,synthetic_research_anchored
B081,71,Yellow,Ventilated_ambient,0.966,0.926,10.344,29.6,69.69,182.69,29.61,69.95,182.54,6.34,6.72,3.01,17.88,18.79,30,101,synthetic_research_anchored
B022,76,Red,Ventilated_ambient,0.935,0.66,12.338,32.42,81.1,320.52,32.19,80.83,316.36,13.97,16.93,5.69,100.0,96.06,0,72,synthetic_research_anchored
B071,39,Yellow,Ventilated_ambient,0.878,0.844,11.813,32.7,73.84,185.41,33.15,73.6,189.04,14.19,8.86,2.77,2.78,4.55,42,81,synthetic_research_anchored
B090,51,Yellow,DOGR_like,0.937,0.797,19.707,26.21,63.84,146.89,26.28,63.3,145.79,0.0,0.0,1.4,1.35,1.06,54,105,synthetic_research_anchored
B175,49,Red,DOGR_like,0.893,0.805,11.153,29.47,64.84,166.71,29.75,64.73,168.53,6.23,0.83,2.11,2.9,3.31,44,93,synthetic_research_anchored
B100,9,White,Ventilated_ambient,0.99,0.798,11.935,25.46,63.77,150.22,25.78,63.76,149.6,0.84,1.89,0.0,0.0,0.72,104,113,synthetic_research_anchored
B016,12,Red,Warm_ambient,0.677,0.939,13.211,31.16,90.3,173.19,31.08,90.01,176.79,9.86,22.73,1.11,0.02,0.17,83,95,synthetic_research_anchored
B024,81,Red,Ventilated_ambient,0.831,0.841,17.081,30.58,84.22,309.75,30.62,84.15,309.66,8.75,19.03,5.84,100.0,88.93,3,84,synthetic_research_anchored
B152,53,Yellow,Warm_ambient,0.875,0.79,9.489,36.08,70.5,241.88,35.41,70.48,236.34,22.18,6.94,4.43,51.83,34.47,18,71,synthetic_research_anchored
B128,51,Yellow,Warm_ambient,0.875,0.67,13.945,37.15,67.13,256.3,36.89,66.39,257.07,24.0,2.03,4.55,66.19,47.0,12,63,synthetic_research_anchored
B082,104,Yellow,Warm_ambient,0.915,0.786,12.152,27.18,67.59,249.37,26.97,68.4,249.33,0.59,2.72,3.01,66.96,98.24,0,65,synthetic_research_anchored
B032,85,Yellow,Ventilated_ambient,0.99,0.893,14.105,33.94,78.27,207.71,34.17,77.68,205.5,17.33,12.79,6.31,23.84,16.89,35,120,synthetic_research_anchored
B137,66,Yellow,Warm_ambient,0.948,0.827,8.197,32.2,67.24,260.1,32.47,67.22,257.13,11.86,2.47,3.54,71.94,64.29,8,74,synthetic_research_anchored
B061,88,Red,Ventilated_ambient,0.897,0.661,14.373,27.4,69.15,263.98,28.09,69.1,264.43,0.0,3.53,3.23,68.63,90.52,0,85,synthetic_research_anchored
B036,44,White,DOGR_like,0.783,0.909,9.333,28.73,63.44,149.66,28.54,63.87,148.45,5.6,0.0,1.55,9.53,10.58,30,74,synthetic_research_anchored
B134,45,Red,Ventilated_ambient,0.855,0.663,19.411,30.15,68.94,177.26,29.9,69.08,167.65,7.6,5.12,2.29,2.12,2.36,50,95,synthetic_research_anchored
B009,84,White,Warm_ambient,0.883,0.895,14.454,28.83,80.31,295.78,29.25,79.24,293.02,6.15,16.01,4.85,92.76,100.0,0,75,synthetic_research_anchored
B056,62,Red,Ventilated_ambient,0.951,0.893,18.437,27.33,76.79,180.59,27.05,77.28,175.23,1.92,10.3,2.44,4.18,4.25,44,106,synthetic_research_anchored
B112,95,Yellow,Ventilated_ambient,0.841,0.828,14.367,30.1,57.95,200.04,30.36,57.85,201.93,8.84,0.0,4.28,39.5,36.91,25,120,synthetic_research_anchored
B147,57,Red,Ventilated_ambient,0.865,0.83,11.277,30.93,73.13,160.08,31.45,72.3,157.33,9.57,6.46,3.33,1.9,0.69,63,120,synthetic_research_anchored
B164,31,Yellow,Ventilated_ambient,0.877,0.687,12.887,24.76,68.63,168.17,24.55,68.72,168.81,0.23,3.72,0.93,0.18,0.0,57,88,synthetic_research_anchored
B145,81,Red,Ventilated_ambient,0.882,0.72,13.572,31.68,70.12,210.85,31.72,70.3,210.4,11.14,3.59,4.82,37.66,31.6,26,107,synthetic_research_anchored
B048,24,Red,Warm_ambient,0.876,0.98,10.41,34.88,75.26,170.36,34.62,74.95,166.86,17.41,11.15,2.26,0.17,0.0,96,120,synthetic_research_anchored
B137,115,Yellow,Warm_ambient,0.948,0.827,8.197,32.82,67.9,296.78,32.52,67.62,299.45,13.44,2.85,7.31,100.0,97.9,0,74,synthetic_research_anchored
B107,8,Yellow,Ventilated_ambient,0.79,0.69,18.083,31.61,68.11,170.06,31.72,68.4,168.12,12.58,4.29,0.6,0.0,0.0,90,98,synthetic_research_anchored
B054,119,Yellow,Ventilated_ambient,0.964,0.805,14.51,30.47,66.91,260.3,30.24,66.89,258.41,6.74,0.27,5.36,77.38,97.26,0,101,synthetic_research_anchored
B076,69,White,DOGR_like,0.883,0.806,11.02,26.7,52.87,137.98,26.69,52.29,134.8,0.33,0.0,1.59,8.47,9.32,35,104,synthetic_research_anchored
B103,11,Red,Warm_ambient,0.842,0.726,15.994,36.29,76.1,167.63,36.94,76.8,162.63,23.74,9.36,0.83,0.0,1.57,60,71,synthetic_research_anchored
B144,75,Yellow,Ventilated_ambient,0.872,0.765,15.441,36.95,62.8,291.39,37.23,62.99,285.73,22.0,2.11,6.33,100.0,73.95,4,79,synthetic_research_anchored
B163,40,Red,DOGR_like,0.825,0.63,11.864,24.74,60.93,147.08,24.58,60.54,150.16,0.48,0.0,1.27,4.13,4.32,38,78,synthetic_research_anchored
B180,32,Red,Ventilated_ambient,0.895,0.748,9.985,28.24,67.08,155.22,27.8,66.54,161.27,4.48,1.35,1.18,0.0,0.0,88,120,synthetic_research_anchored
B144,88,Yellow,Ventilated_ambient,0.872,0.765,15.441,33.67,64.09,306.93,33.86,64.51,307.27,16.11,0.0,5.68,100.0,90.88,0,79,synthetic_research_anchored
B106,99,Red,Ventilated_ambient,0.976,0.78,18.376,30.25,66.35,223.71,30.01,66.67,214.46,9.45,0.78,4.66,48.65,51.65,21,120,synthetic_research_anchored
B041,44,White,Warm_ambient,0.985,0.828,10.177,39.86,74.16,211.11,39.58,73.19,217.36,24.0,6.63,4.76,23.42,15.23,27,71,synthetic_research_anchored
B146,108,Yellow,Warm_ambient,0.906,0.824,12.681,31.23,73.66,295.61,31.35,72.88,293.64,9.71,9.43,6.46,100.0,100.0,0,80,synthetic_research_anchored
B033,15,Red,Ventilated_ambient,0.899,0.912,14.14,33.89,63.56,142.05,33.98,63.11,144.44,15.93,2.43,1.21,0.0,0.0,105,120,synthetic_research_anchored
B137,23,Yellow,Warm_ambient,0.948,0.827,8.197,28.62,65.79,161.07,28.23,64.94,164.12,3.78,0.59,0.93,1.36,0.0,51,74,synthetic_research_anchored
B089,71,Red,Warm_ambient,0.877,0.727,17.572,26.11,83.17,259.24,25.81,83.88,263.61,0.62,16.28,3.79,63.22,60.75,13,84,synthetic_research_anchored
B032,1,Yellow,Ventilated_ambient,0.99,0.893,14.105,33.53,76.77,179.74,34.03,77.73,173.43,15.33,10.27,0.0,0.0,0.0,119,120,synthetic_research_anchored
B093,61,White,Ventilated_ambient,0.843,0.876,19.125,23.19,71.99,166.38,23.36,71.86,164.54,0.0,6.57,2.22,13.19,14.33,31,92,synthetic_research_anchored
B106,10,Red,Ventilated_ambient,0.976,0.78,18.376,31.2,63.5,159.0,31.16,63.5,158.81,8.92,0.95,0.6,0.0,0.0,110,120,synthetic_research_anchored
B064,15,White,DOGR_like,0.938,0.762,8.039,26.13,73.68,161.11,26.04,73.84,156.48,0.97,6.38,0.51,1.59,0.0,75,90,synthetic_research_anchored
B071,15,Yellow,Ventilated_ambient,0.878,0.844,11.813,31.64,79.36,161.36,31.69,79.83,164.82,11.43,14.19,1.19,0.73,0.03,66,81,synthetic_research_anchored
B111,65,Red,Warm_ambient,0.843,0.735,12.769,29.2,89.34,284.7,29.44,88.98,288.7,4.9,22.66,4.65,80.57,59.9,13,78,synthetic_research_anchored
B043,116,Red,Ventilated_ambient,0.809,0.876,18.684,33.12,63.97,277.4,32.91,64.61,275.09,15.47,0.0,7.07,91.99,94.41,0,74,synthetic_research_anchored
B006,35,Red,DOGR_like,0.963,0.805,13.428,25.47,65.4,149.35,25.25,64.69,148.47,0.0,0.5,1.02,0.0,2.0,75,110,synthetic_research_anchored
B048,40,Red,Warm_ambient,0.876,0.98,10.41,32.77,75.01,165.14,32.66,75.91,168.4,16.71,10.08,3.25,0.04,0.0,80,120,synthetic_research_anchored
B005,7,White,DOGR_like,0.884,0.727,8.685,29.14,63.09,143.44,29.03,63.15,150.26,3.8,1.17,0.02,1.42,0.23,92,99,synthetic_research_anchored
B037,61,White,Ventilated_ambient,0.811,0.862,10.96,29.26,60.63,199.87,29.39,60.96,208.12,5.36,0.37,2.57,26.98,29.68,21,82,synthetic_research_anchored
B082,48,Yellow,Warm_ambient,0.915,0.786,12.152,30.16,67.1,216.49,29.87,67.33,217.93,7.6,2.03,2.31,34.34,33.95,17,65,synthetic_research_anchored
B168,73,Red,Warm_ambient,0.969,0.818,16.138,36.85,81.31,320.57,36.99,81.21,318.36,21.56,15.41,7.29,100.0,84.78,3,76,synthetic_research_anchored
B033,106,Red,Ventilated_ambient,0.899,0.912,14.14,32.34,68.49,267.72,32.56,68.41,269.9,13.95,3.58,6.23,70.16,71.08,14,120,synthetic_research_anchored
B002,13,Yellow,Warm_ambient,0.911,0.939,11.675,35.39,92.0,204.8,35.64,92.3,207.92,19.46,24.0,1.67,2.18,2.11,53,66,synthetic_research_anchored
B027,119,Red,DOGR_like,0.874,0.761,12.162,30.56,62.29,240.09,30.61,61.67,236.76,7.92,1.82,5.73,71.01,89.19,1,120,synthetic_research_anchored
B098,113,Yellow,Ventilated_ambient,0.906,0.851,8.952,33.14,65.27,300.98,32.61,65.23,298.37,14.29,0.73,7.03,100.0,97.69,0,66,synthetic_research_anchored
B022,100,Red,Ventilated_ambient,0.935,0.66,12.338,32.45,86.33,306.53,32.38,86.29,301.42,12.64,21.58,7.94,100.0,100.0,0,72,synthetic_research_anchored
B072,46,Yellow,Ventilated_ambient,0.912,0.669,11.123,34.5,69.27,163.58,33.97,68.92,168.45,17.39,3.09,3.26,0.95,0.0,61,107,synthetic_research_anchored
B110,104,Red,Ventilated_ambient,0.858,0.98,10.41,30.19,82.45,286.03,29.95,82.04,285.07,8.46,17.12,7.04,99.38,100.0,0,88,synthetic_research_anchored
B120,43,Red,Ventilated_ambient,0.853,0.98,17.885,28.95,72.15,168.87,29.13,71.89,166.64,3.64,5.48,1.69,0.99,1.19,56,99,synthetic_research_anchored
B054,60,Yellow,Ventilated_ambient,0.964,0.805,14.51,27.15,65.67,159.6,27.77,66.16,159.53,0.04,0.0,1.81,3.82,5.6,41,101,synthetic_research_anchored
B171,54,Yellow,Ventilated_ambient,0.955,0.905,19.793,24.1,69.78,151.49,24.24,70.02,155.97,0.0,5.2,1.79,4.45,6.52,39,93,synthetic_research_anchored
B016,86,Red,Warm_ambient,0.677,0.939,13.211,31.32,90.47,308.63,31.15,90.2,307.16,8.96,24.0,7.56,95.55,83.06,9,95,synthetic_research_anchored
B097,32,Red,Warm_ambient,0.961,0.861,15.828,28.99,78.28,166.97,28.84,78.74,170.27,5.34,13.63,1.65,0.0,0.97,85,117,synthetic_research_anchored
B019,67,Red,Ventilated_ambient,0.863,0.681,15.661,32.92,72.74,213.02,32.65,73.15,215.07,14.13,8.04,4.93,39.18,30.1,23,90,synthetic_research_anchored
